city,date,wea,tem,win
北京,8日（今天）,晴,15/2℃,<3级
北京,9日（明天）,晴转多云,16/6℃,<3级
北京,10日（后天）,多云,17/6℃,<3级
北京,11日（周二）,多云,15/3℃,<3级
北京,12日（周三）,晴,14/2℃,3-4级转<3级
北京,13日（周四）,多云,14/3℃,<3级
北京,14日（周五）,多云,12/2℃,<3级
上海,8日（今天）,多云,13/5℃,<3级
上海,9日（明天）,阴转小雨,13/9℃,<3级
上海,10日（后天）,小雨转多云,14/9℃,<3级
上海,11日（周二）,多云转小雨,16/10℃,<3级
上海,12日（周三）,中雨转小雨,13/8℃,<3级
上海,13日（周四）,多云转阴,13/8℃,<3级
上海,14日（周五）,中雨转小雨,14/9℃,<3级
广州,8日（今天）,多云,18/12℃,<3级
广州,9日（明天）,多云,22/14℃,<3级
广州,10日（后天）,多云,23/16℃,<3级
广州,11日（周二）,多云,26/19℃,<3级
广州,12日（周三）,多云转雷阵雨,25/19℃,<3级
广州,13日（周四）,雷阵雨,24/18℃,<3级转3-4级
广州,14日（周五）,中雨转大雨,24/17℃,<3级
深圳,8日（今天）,多云,20/13℃,<3级
深圳,9日（明天）,晴转多云,22/15℃,<3级
深圳,10日（后天）,多云,23/17℃,<3级
深圳,11日（周二）,多云转阴,26/21℃,<3级
深圳,12日（周三）,阴,27/22℃,<3级
深圳,13日（周四）,阴转阵雨,27/18℃,<3级转3-4级
深圳,14日（周五）,小雨,24/19℃,<3级
成都,8日（今天）,阴转小雨,12/6℃,<3级
成都,9日（明天）,多云,16/5℃,<3级
成都,10日（后天）,多云,18/7℃,<3级
成都,11日（周二）,阴转多云,18/10℃,<3级
成都,12日（周三）,多云转阴,22/11℃,<3级
成都,13日（周四）,小雨,16/11℃,<3级
成都,14日（周五）,阴转小雨,13/10℃,<3级
杭州,8日（今天）,晴,13/4℃,4-5级转3-4级
杭州,9日（明天）,多云转小雨,14/7℃,4-5级转3-4级
杭州,10日（后天）,小雨转多云,16/9℃,3-4级转4-5级
杭州,11日（周二）,阴转小雨,22/11℃,3-4级转<3级
杭州,12日（周三）,中雨转小雨,17/11℃,4-5级
杭州,13日（周四）,小雨,13/8℃,5-6级转3-4级
杭州,14日（周五）,小到中雨转小雨,12/9℃,3-4级转4-5级
